time_sec,vowel,confidence
2.84,I,0.455
2.8667,口閉じ,1.0
3.12,I,0.6766
3.24,E,0.6512
3.44,I,0.9156
3.6333,口閉じ,1.0
4.16,I,0.5034
4.2,A,0.7847
4.28,E,0.8122
4.52,I,0.6682
4.68,E,0.5759
4.8,I,0.7607
5.4,口閉じ,1.0
6.76,I,0.6123
7.0667,口閉じ,1.0
8.08,I,0.9398
8.7,口閉じ,1.0
9.48,I,0.8219
9.6,E,0.7593
9.68,A,0.3952
9.84,I,0.9743
10.7,口閉じ,1.0
10.96,I,0.7097
11.08,E,0.6941
11.12,I,0.6641
11.4,口閉じ,1.0
11.56,I,0.5694
11.64,E,0.9192
11.8,I,0.5742
12.0333,口閉じ,1.0
12.28,I,0.7498
12.44,E,0.8981
13.64,I,0.8637
14.0,E,0.7687
14.04,I,0.784
14.7,口閉じ,1.0
14.92,I,0.8634
15.4,E,0.6967
15.64,I,0.7094
16.5,口閉じ,1.0
17.0,I,0.9125
17.6333,口閉じ,1.0
17.92,E,0.5797
17.96,A,0.7956
18.24,I,0.8015
19.24,E,0.5749
19.28,I,0.7237
19.4,口閉じ,1.0
19.96,I,0.9125
20.64,A,0.4468
20.72,E,0.617
20.96,I,0.3447
21.1667,口閉じ,1.0
22.08,I,0.9037
23.0,口閉じ,1.0
23.28,I,0.338
23.52,A,0.5323
23.56,E,0.8162
23.64,I,0.5702
23.92,E,0.7462
24.0,I,0.4158
24.7,口閉じ,1.0
25.2,I,0.7348
25.52,E,0.803
25.56,I,0.847
25.76,E,0.7985
26.0,I,0.6983
26.04,E,0.7041
26.36,I,0.7612
26.5,口閉じ,1.0
26.88,I,0.6204
26.92,E,0.818
27.12,I,0.4171
27.8333,口閉じ,1.0
28.28,I,0.8559
29.2333,口閉じ,1.0
29.4,I,0.8888
30.5,口閉じ,1.0
30.84,I,0.9111
32.32,E,0.6572
32.4,I,0.7055
32.5,口閉じ,1.0
34.08,I,0.7269
34.2667,口閉じ,1.0
34.72,I,0.907
37.6,口閉じ,1.0
39.04,I,0.9149
39.6,口閉じ,1.0
39.8,I,0.9711
40.2667,口閉じ,1.0
41.16,I,0.3271
41.2,口閉じ,1.0
42.28,I,0.9596
43.28,E,0.8363
43.48,I,0.8127
43.52,E,0.815
43.68,I,0.8216
44.0333,口閉じ,1.0
46.92,I,0.9551
47.64,E,0.8967
48.0,I,0.4447
48.12,E,0.6879
48.16,I,0.4821
48.5,口閉じ,1.0
48.84,I,0.8521
49.4,口閉じ,1.0
49.88,I,0.3557
50.2667,口閉じ,1.0
50.4,A,0.4752
50.44,E,0.7281
50.52,I,0.9117
50.84,E,0.905
50.88,I,0.6297
51.1667,口閉じ,1.0
51.36,I,0.819
52.0333,口閉じ,1.0
54.12,I,0.9406
56.5,口閉じ,1.0
56.68,E,0.8407
56.88,I,0.8706
57.12,E,0.6436
58.16,I,0.8425
58.2667,口閉じ,1.0
58.44,I,0.4496
58.52,E,0.6199
58.56,I,0.4905
59.1667,口閉じ,1.0
59.32,I,0.4455
59.52,E,0.898
59.6,I,0.8127
60.0333,口閉じ,1.0
61.44,I,0.6789
62.12,E,0.5208
62.16,I,0.6129
62.2667,口閉じ,1.0
62.4,I,0.225
62.6,E,0.8287
62.76,I,0.5497
63.0,E,0.9437
63.56,I,0.4915
64.32,A,0.8439
64.44,E,0.5118
65.0,I,0.9445
66.52,E,0.9463
66.84,I,0.8053
66.9667,口閉じ,1.0
77.52,I,0.3213
77.5667,口閉じ,1.0
78.12,I,0.8833
78.2667,口閉じ,1.0
78.64,I,0.2402
79.0,E,0.8869
79.72,I,0.6949
79.8333,口閉じ,1.0
80.28,I,0.8806
80.4,E,0.6027
80.48,I,0.7453
80.92,E,0.6669
81.12,I,0.7276
81.24,E,0.8025
81.28,I,0.7703
81.8333,口閉じ,1.0
82.04,I,0.7133
82.2,E,0.7188
82.72,I,0.5384
83.4,口閉じ,1.0
84.12,I,0.8994
84.16,E,0.8382
84.36,I,0.7824
84.8,E,0.6901
84.84,I,0.7895
85.1667,口閉じ,1.0
86.32,I,0.9687
86.7,口閉じ,1.0
86.96,I,0.7197
87.12,E,0.9018
87.6,I,0.4811
87.6333,口閉じ,1.0
87.72,A,0.5626
87.76,E,0.7469
88.12,I,0.9799
89.4,口閉じ,1.0
89.72,I,0.5255
89.8,E,0.8857
90.0,I,0.7212
90.08,E,0.6432
90.68,I,0.8083
91.1667,口閉じ,1.0
91.8,I,0.3769
92.2667,口閉じ,1.0
92.8,I,0.2326
92.96,E,0.857
93.0,I,0.5741
93.32,E,0.6646
93.68,I,0.8673
94.0667,口閉じ,1.0
94.48,I,0.9595
95.8333,口閉じ,1.0
96.72,I,0.9682
97.6,口閉じ,1.0
98.12,I,0.3481
98.16,E,0.6197
98.44,I,0.5292
98.6,E,0.7892
98.84,I,0.4631
98.92,E,0.5945
99.0,I,0.8102
99.28,E,0.7147
99.32,I,0.4951
99.4,口閉じ,1.0
100.68,I,0.8225
101.1667,口閉じ,1.0
101.84,I,0.7758
102.2,E,0.7102
102.44,I,0.8037
104.2667,口閉じ,1.0
105.12,I,0.3508
105.1667,口閉じ,1.0
105.36,I,0.9525
107.2,口閉じ,1.0
107.32,E,0.6684
